word;level;kana reading;TranslationEng;TranslationRus;SpecialReading;KanaOnly;check this;;
低下;4;ていか;;снижение, падение, угасание;0;0;;;
住まい;4;すまい;;жильё, дом, проживание;0;0;;;
住居;4;じゅうきょ;;жилище, дом, жилое помещение, жильё;0;0;;;
体制;4;たいせい;;система, структура, организация, строй;0;0;;;
体操;4;たいそう;;гимнастика, гимнастические упражнения;0;0;;;
体温;3;たいおん;;температура тела;0;0;;;
体積;4;たいせき;;вместимость, ёмкость, объём;0;0;;;
体系;4;たいけい;;система, организация, структура;0;0;;;
何々;4;なになに;;Что?;0;0;;;
何しろ;4;なにしろ;;в любом случае, что ни говори, как бы то ни было;0;0;;;
何で;3;なんで;;почему, отчего, зачем;0;0;;;
何でも;3;なんでも;;всё что угодно, во что бы то ни стало, все равно, ничего (с отриц.);0;0;;;
何とか;3;なんとか;;что-нибудь, как-то, как-нибудь;0;0;;;
何となく;4;なんとなく;;что-то, как-то, почему-то, ни с того ни с сего;0;0;;;
何とも;4;なんとも;;ничего, никак, нисколько;0;0;;;
何分;4;なにぶん;;в любом случае, что ни говори, как бы то ни было, как вам известно;0;0;;;
何故;2;なぜ;;почему?;0;0;;;
何方;1;どちら (どっち);;где, который, кто, (кто (разг.));0;0;;;
何時;1;いつ;;когда;0;0;;;
何時でも;3;いつでも;;в любое время, всегда, все время;0;0;;;
何時までも;3;いつまでも;;навсегда, сколько угодно;0;0;;;
何時も;3;いつも;;всегда, обычно, все время, никогда с отрицанием;0;0;;;
余り;3;あまり;;излишек, остаток, не очень (с отриц.);0;0;;;
余る;4;あまる;;оставаться, быть в избытке;0;0;;;
余分;3;よぶん;;излишек, избыток;0;0;;;
余所よそ;4;0;;вне, другое место, другой, чужой;0;0;;;
余裕;3;よゆう;;свобода действий, возможности, достаток, излишек, широта взглядов;0;0;;;
余計;4;よけい;;излишек;0;0;;;
佚;4;いつ;;удобный, расслабляющий;0;0;;;
作る・造る;4;つくる;;делать, создавать, производить, конструироваться;0;0;;;
作家;3;さっか;;писатель, автор;0;0;;;
作成;4;さくせい;;составление, оформление (сообщения, отчета и т.п.);0;0;;;
作曲;3;さっきょく;;музыкальная композиция, писать музыку;0;0;;;
作業;3;さぎょう;;работа, операции, рабочий (в сочетаниях);0;0;;;
作法;3;さほう;;манеры, поведение, этикет;0;0;;;
作物;3;さくもつ;;сельхоз. продукция, зерновые;0;0;;;
作者;4;さくしゃ;;автор, писатель;0;0;;;
作製;4;さくせい;;производство, изготовление;0;0;;;
使用;3;しよう;;употребление, использование, применение;0;0;;;
例;3;れい;;пример, прецедент, обыкновение;0;0;;;
例えば;2;たとえば;;например;0;0;;;
例える;4;たとえる;;сравнивать, уподобить, пояснить наглядным примером, образно выражаться;0;0;;;
例外;4;れいがい;;исключение;0;0;;;
供給;3;きょうきゅう;;поставка, снабжение;0;0;;;
依頼;3;いらい;;просьба, поручение, поручать, доверять;0;0;;;
価値;3;かち;;ценность, стоимость;0;0;;;
侵入;4;しんにゅう;;вторжение, проникновение, агрессия, налёт;0;0;;;
便;3;びん;;почта, доставка, случай, оказия, авиарейс;0;0;;;
便利;1;べんり;;удобство;0;0;;;
便箋;4;びんせん;;почтовая бумага, писчая бумага;0;0;;;
係;3;かかり;;обязанности, ответственное лицо;0;0;;;
係わる;4;かかわる;;иметь отношение, касаться, оказать влияние;0;0;;;
俄;4;にわか;;внезапный, неожиданный;0;0;;;
保健;4;ほけん;;здравоохранение, гигиена, санитария;0;0;;;
保存;3;ほぞん;;хранение, сохранность;0;0;;;
保証;3;ほしょう;;гарантия, поручительство;0;0;;;
信ずる;4;しんずる;;верить, доверять;0;0;;;
信仰;3;しんこう;;религиозная вера, исповедовать, верить;0;0;;;
信用;3;しんよう;;доверие, репутация, надежность;0;0;;;
信頼;3;しんらい;;доверие;0;0;;;
修正;3;しゅうせい;;поправка, исправление, ревизия;0;0;;;
修理;3;しゅうり;;ремонт, починка;0;0;;;
修繕;4;しゅうぜん;;починка, ремонт, исправление;0;0;;;
俳優;3;はいゆう;;актёр, актриса;0;0;;;
俳句;4;はいく;;хайку (трёхстишие из стихов в 5—7—5 слогов);0;0;;;
倉庫;4;そうこ;;склад, кладовая;0;0;;;
〜個;1;こ;;…штук (для мелких предметов);0;0;;;
個体;4;こたい;;индивидуум;0;0;;;
個所・箇所;4;かしょ;;проход, место, часть, пункт, участок;0;0;;;
倍;2;ばい;;удвоенный, с числом в …раз;0;0;;;
倒;3;すたおす;;валить, опрокидывать, рушить, свергать, одолеть;0;0;;;
倒れる;2;たおれる;;падать, опрокидываться;0;0;;;
候補;3;こうほ;;кандидатура, кандидат;0;0;;;
倣う;4;ならう;;подражать, следовать, последовать примеру;0;0;;;
値;3;ね;;цена, стоимость;0;0;;;
値段;2;ねだん;;цена, стоимость;0;0;;;
偉い;4;えらい;;великий, выдающийся, известный, сильный, здорово!;0;0;;;
偉大;3;いだい;;величие, великий;0;0;;;
停止;4;ていし;;остановка, задержка, прекращение;0;0;;;
停留所;3;ていりゅうじょ;;остановка автобуса или трамвая;0;0;;;
停車;4;ていしゃ;;остановка транспорта;0;0;;;
停電;4;ていでん;;отключение электричества;0;0;;;
健康;3;けんこう;;здоровье;0;0;;;
側;1;そば;;сторона, рядом, возле, поблизости;0;0;;;
〜側;1;がわ;;сторона;0;0;;;
偶;3;たま;;время от времени, нечасто;0;0;;;
偶々;3;たまたま;;случайно, редко, изредка;0;0;;;
偶に;2;たまに;;изредка, редко;0;0;;;
偶数;4;ぐうすう;;четное число;0;0;;;
偶然;3;ぐうぜん;;случайность;0;0;;;
傑作;4;けっさく;;шедевр;0;0;;;
傘;1;かさ;;зонт;0;0;;;
備える;3;そなえる;;запасать, оборудовать, готовиться, обладать (напр., знаниями);0;0;;;
催し;4;もよおし;;устроительство, фестиваль, собрание, празднество;0;0;;;
催促;4;さいそく;;требование, напоминание;0;0;;;
傷;3;きず;;рана, травма, изъян, повреждение;0;0;;;
傾く;4;かたむく;;наклониться, перекоситься, перевесить;0;0;;;
傾向;3;けいこう;;тенденция, склонность, стремление;0;0;;;
僅か;3;わずか;;всего лишь, только, немного;0;0;;;
働き;3;はたらき;;работа, труд, функционирование, способности, достижения;0;0;;;
僕;2;ぼく;;я;0;0;;;
儀式;4;ぎしき;;церемония, ритуал, торжество;0;0;;;
億;2;おく;;сто миллионов;0;0;;;
優しい;2;やさしい;;добрый, ласковый, нежный;0;0;;;
優れる;3;すぐれる;;превосходить, быть выше;0;0;;;
優勝;3;ゆうしょう;;победа (в конкурсе, спорте);0;0;;;
優秀;3;ゆうしゅう;;совершенство, превосходство;0;0;;;
儲かる;4;もうかる;;быть прибыльным, приносить прибыль, выручить деньги;0;0;;;
儲ける;4;もうける;;получать прибыль, зарабатывать, извлекать пользу;0;0;;;
元々;4;もともと;;изначально, от природы;0;0;;;
元・基・素;3;もと;;начало, исток, основа, корень, материал;0;0;;;
元気;1;げんき;;бодрость, хорошее настроение, здоровье;0;0;;;
先々月;4;せんせんげつ;;позапрошлый месяц;0;0;;;
先々週;4;せんせんしゅう;;позапрошлая неделя;0;0;;;
先ず;2;まず;;прежде всего, в целом;0;0;;;
先日;3;せんじつ;;недавно, на днях;0;0;;;
先祖;4;せんぞ;;предок, родоначальник;0;0;;;
先程;4;さきほど;;недавно, не так давно, немного ранее;0;0;;;
先端;4;せんたん;;острие, наконечник, авангард, передовой, вершина;0;0;;;
先輩;2;せんぱい;;старший товарищ (в школе, на работе);0;0;;;
先頭;4;せんとう;;главенство, лидерство;0;0;;;
光景;3;こうけい;;зрелище, вид, пейзаж, картина;0;0;;;
光線;4;こうせん;;солнечный луч;0;0;;;
克服;3;こくふく;;преодоление, преодолевать;0;0;;;
免税;4;めんぜい;;освобождение от налогов, пошлины;0;0;;;
免許;3;めんきょ;;лицензия, разрешение, свидетельство;0;0;;;
兎;3;うさぎ;;заяц, кролик;0;0;;;
児童;4;じどう;;ребёнок, дети;0;0;;;
党;3;とう;;политическая партия;0;0;;;
入れ物;4;いれもの;;контейнер, резервуар, сосуд;0;0;;;
入場;3;にゅうじょう;;вход;0;0;;;
入学（する） ;2;にゅうがく（する）;;поступление в школу или университет;0;0;;;
入社;4;にゅうしゃ;;поступление на работу в компанию;0;0;;;
入院（する） ;2;にゅういん（する）;;госпитализация;0;0;;;
全く;3;まったく;;совершенно, абсолютно, всецело, вполне, действительно;0;0;;;
全て;3;すべて;;все, всё, полностью, целиком;0;0;;;
全体;3;ぜんたい;;целое, всё;0;0;;;
全国;3;ぜんこく;;вся страна;0;0;;;
全然;2;ぜんぜん;;совсем, совершенно, нисколько (с отриц.);0;0;;;
全般;4;ぜんぱん;;весь, всё, всеобщий;0;0;;;
全身;4;ぜんしん;;все тело, в полный рост;0;0;;;
全集;4;ぜんしゅう;;полное собрание сочинений;0;0;;;
八;1;はち;;восемь;0;0;;;
八百屋;1;やおや;;овощной магазин;0;0;;;
公務;4;こうむ;;общественные дела, служебные обязанности;0;0;;;
公務員;2;こうむいん;;госслужащий, чиновник;0;0;;;
公害;4;こうがい;;загрязнение окружающей среды;0;0;;;
公平;3;こうへい;;справедливость, беспристрастность;0;0;;;
公正;4;こうせい;;справедливость, честность, беспристрастность;0;0;;;
公衆;4;こうしゅう;;общественность, публика, общество;0;0;;;
公表;4;こうひょう;;публикация, обнародование;0;0;;;
六;1;ろく;;шесть;0;0;;;
共に;3;ともに;;вместе;0;0;;;
共通;3;きょうつう;;общность, общий, одинаковый;0;0;;;
兵隊;4;へいたい;;солдат, войска;0;0;;;
其れで;2;それで;;поэтому, из-за этого;0;0;;;
其れに;2;それに;;к тому же…;0;0;;;
其れ程;2;それほど;;в такой степени;0;0;;;
具える;4;そなえる;;приготовиться, оборудовать, запастись;0;0;;;
具体;3;ぐたい;;конкретность, материал;0;0;;;
具合;2;ぐあい;;состояние, условия, состояние здоровья, образ действий;0;0;;;
典型;3;てんけい;;тип, категория, образец;0;0;;;
兼ねる;4;かねる;;быть неспособным для;0;0;;;
内;2;うち;;между, в течение, внутри;0;0;;;
内容;3;ないよう;;содержание, содержимое;0;0;;;
内線;4;ないせん;;внутренняя линия;0;0;;;
円・丸;3;まる;;круг;0;0;;;
円周;4;えんしゅう;;окружность, периферия;0;0;;;
〜冊;1;さつ;;сч. суф. для книг;0;0;;;
再び;3;ふたたび;;повторно, вторично, снова, еще раз;0;0;;;
再三;4;さいさん;;неоднократно, постоянно;0;0;;;
再来年;1;さらいねん;;через год;0;0;;;
再来月;2;さらいげつ;;через месяц;0;0;;;
再来週;2;さらいしゅう;;через неделю;0;0;;;
冒険;3;ぼうけん;;риск, авантюра, приключение;0;0;;;
冗談;3;じょうだん;;шутка;0;0;;;
写生;4;しゃせい;;рисование с натуры, эскиз, набросок;0;0;;;
冠;4;かんむり;;корона, венец;0;0;;;
冷える;2;ひえる;;остывать, зябнуть, мерзнуть;0;0;;;
冷ます;4;さます;;охлаждать, остужать;0;0;;;
冷める;4;さめる;;остудиться, охладиться, понизиться, уменьшиться;0;0;;;
冷凍;4;れいとう;;замораживание;0;0;;;
冷静;3;れいせい;;хладнокровие, спокойствие, сдержанность;0;0;;;
凄い;2;すごい;;страшный, ужасный, поразительный, удивительный, круто!;0;0;;;
凍える;4;こごえる;;замерзнуть, закоченеть;0;0;;;
凍る;3;こおる;;замерзать, покрываться льдом;0;0;;;
処理;3;しょり;;обработка, лечение, принятие мер;0;0;;;
凸凹;4;でこぼこ;;неровность, неравенство, выступы и впадины;0;0;;;
凹む;4;へこむ;;вгибаться, оседать, поддаваться (при нажатии), струсить;0;0;;;
出会い;3;であい;;встреча, свидание;0;0;;;
出会う;3;であう;;натолкнуться, встретиться, договариваться;0;0;;;
出入り;4;でいり;;вход и выход, приход и уход, посещение, приход и расход;0;0;;;
出入口;4;でいりぐち;;вход и выход;0;0;;;
出勤;4;しゅっきん;;приход на работу, явка на службу;0;0;;;
出合い;4;であい;;столкновение, встреча;0;0;;;
出席;3;しゅっせき;;посещение (занятий), присутствие;0;0;;;
出席（する） ;2;しゅっせき（する）;;присутствие, посещение;0;0;;;
出張;4;しゅっちょう;;командировка;0;0;;;
出掛ける;1;でかける;;выходить, отправляться;0;0;;;
出来る;1;できる;;быть возможным, мочь, быть сделанным, появляться;0;0;;;
出来るだけ;2;できるだけ;;насколько возможно, по мере возможности;0;0;;;
出来上がり;4;できあがり;;завершение, отделка, качество, работа;0;0;;;
出来上がる;4;できあがる;;быть готовым, быть сделанным;0;0;;;
出来事;3;できごと;;происшествие, событие, инцидент;0;0;;;
出版;3;しゅっぱん;;публикация, издание, выпуск;0;0;;;
出発（する） ;2;しゅっぱつ（する）;;отъезд, отправление, выход, вылет;0;0;;;
出身;3;しゅっしん;;происходить, быть родом, быть выходцем;0;0;;;
出迎え;4;でむかえ;;встреча, приём;0;0;;;
出迎える;4;でむかえる;;встречать, пойти навстречу, принимать (гостей);0;0;;;
出鱈目;4;でたらめ;;вздорный, сказанный наобум, ненадёжный;0;0;;;
刀;3;かたな;;катана, самурайский меч;0;0;;;
分;3;ぶ, ぶん;;процент, часть, порция, доля, участь;0;0;;;
〜分;1;ふん;;минута;0;0;;;
分かれる;4;わかれる;;отделиться, разобщиться, разделиться, ответвиться;0;0;;;
分る;4;わかる;;быть ясным, понятным, понятым;0;0;;;
分布;4;ぶんぷ;;распределение, расположение, распространение;0;0;;;
分数;4;ぶんすう;;дробь;0;0;;;
分析;3;ぶんせき;;анализ;0;0;;;
分解;4;ぶんかい;;расщепление, разложение, демонтаж, анализ;0;0;;;
分量;4;ぶんりょう;;количество, доза;0;0;;;
分類;4;ぶんるい;;классификация, сортировка;0;0;;;
切っ掛け;4;きっかけ;;удобный случай, повод, предлог;0;0;;;
切れ;3;きれ;;кусок, ломоть, клочок;0;0;;;
切れる;3;きれる;;быть острым, быть порезанным, прерываться, износиться;0;0;;;
刈る;3;かる;;стричь, подрезать, косить, жать;0;0;;;
刑事;3;けいじ;;уголовное дело, детектив, следователь;0;0;;;
列;3;れつ;;ряд, шеренга, колонная, очередь;0;0;;;
列島;4;れっとう;;архипелаг;0;0;;;
列車;3;れっしゃ;;поезд;0;0;;;
初めに;4;はじめに;;в начале чего-либо;0;0;;;
初旬;4;しょじゅん;;первая декада месяца;0;0;;;
初級;4;しょきゅう;;базовый уровень, начинающий уровень;0;0;;;
判事;4;はんじ;;судья;0;0;;;
判子;4;はんこ;;печать (факсимиле);0;0;;;
判断;3;はんだん;;суждение, заключение, оценка, дешифровка, гадание;0;0;;;
別々;4;べつべつ;;отдельный, раздельный;0;0;;;
別に;2;べつに;;особенно, отдельно, кроме, особо, специально;0;0;;;
別れ;3;わかれ;;отделение, ответвление, развилка, расставание, разлука;0;0;;;
別荘;4;べっそう;;дача, загородный дом;0;0;;;
利口;3;りこう;;умный;0;0;;;
利害;4;りがい;;интересы, выгоды и убытки, преимущества и недостатки;0;0;;;
利用(する) ;2;りよう;;использование, применение;0;0;;;
利益;3;りえき;;прибыль, доход, выгода, польза;0;0;;;
到着;3;とうちゃく;;прибытие;0;0;;;
制作;4;せいさく;;произведение, творчество;0;0;;;
制限;3;せいげん;;ограничение, предел, лимит;0;0;;;
刷る;4;する;;печатать;0;0;;;
券;3;けん;;билет, купон, облигация, талон;0;0;;;
刺さる;4;ささる;;втыкаться, вонзаться;0;0;;;
刺す;4;さす;;протыкать, пронзить, воткнуть;0;0;;;
刺激;3;しげき;;толчок, стимул, импульс, побуждение, стимуляция;0;0;;;
刺身;4;さしみ;;сасими (нарезанная сырая рыба);0;0;;;
刻む;4;きざむ;;крошить, раздробить, нашинковать, вырезать, гравировать;0;0;;;
剃る;4;そる;;брить, бриться;0;0;;;
剃刀;4;かみそり;;бритва;0;0;;;
削る;4;けずる;;строгать, точить, обрезать, вычеркивать;0;0;;;
削除;4;さくじょ;;удаление, вычеркивание, исключение;0;0;;;
〜前;1;まえ;;…тому назад;0;0;;;
前後;4;ぜんご;;до и после, передняя и задняя сторона, около, приблизительно;0;0;;;
前者;3;ぜんしゃ;;первый (из двух упомянутых);0;0;;;
前進;3;ぜんしん;;продвижение, прогресс;0;0;;;
剥く;4;むく;;очищать от кожуры, ободрать, содрать;0;0;;;
剥す;4;はがす;;отсоединять, срывать, отодрать, лишить;0;0;;;
副詞;4;ふくし;;наречие;0;0;;;
割と;4;わりと;;сравнительно, относительно;0;0;;;
割れる;2;われる;;разбиваться, трескаться, делиться на…;0;0;;;
割合に;2;わりあいに;;сравнительно, относительно;0;0;;;
割引;4;わりびき;;скидка;0;0;;;
割算;4;わりざん;;деление;0;0;;;
創作;4;そうさく;;творчество, оригинальное произведение;0;0;;;
劇;3;げき;;драма, пьеса;0;0;;;
劇場;3;げきじょう;;театр, здание театра;0;0;;;
力強い;4;ちからづよい;;сильный, могущественный;0;0;;;
功績;4;こうせき;;достижение, заслуга, подвиг;0;0;;;
加減;3;かげん;;сложение и вычитание, регулирование, принимать во внимание;0;0;;;
加熱;4;かねつ;;нагрев, нагревание;0;0;;;
加速;4;かそく;;ускорение, увеличение скорости, разгон;0;0;;;
加速度;4;かそくど;;ускорение, акселерация;0;0;;;
劣る;3;おとる;;быть хуже, уступать;0;0;;;
助かる;4;たすかる;;быть спасенным, спастись;0;0;;;
助ける;3;たすける;;спасать, выручать, помогать;0;0;;;
助手;3;じょしゅ;;ассистент, помощник;0;0;;;
助教授;4;じょきょうじゅ;;старший преподаватель, доцент;0;0;;;
努める;4;つとめる;;стараться, прилагать усилия, стремиться;0;0;;;
努力;3;どりょく;;старания, усилия;0;0;;;
効力;4;こうりょく;;действие, эффект;0;0;;;
勇ましい;4;いさましい;;храбрый, доблестный, смелый, мужественный;0;0;;;
勇気;3;ゆうき;;мужество, храбрость, смелость, доблесть;0;0;;;
勉強;1;べんきょう;;занятие, учение;0;0;;;
動かす;3;うごかす;;двигать, приводить в движение;0;0;;;
動詞;3;どうし;;глагол;0;0;;;
勘;3;かん;;интуиция, инстинкт, чутьё;0;0;;;
勘定;3;かんじょう;;счёт, расчёт, уплата по счету, счета, ведение счетов;0;0;;;
勘違い;4;かんちがい;;неправильное понимание, ошибочное представление, недоразумение;0;0;;;
務める;4;つとめる;;работать, служить;0;0;;;
勝ち;3;かち;;победа;0;0;;;
勝つ;2;かつ;;побеждать, выигрывать;0;0;;;
勝敗;4;しょうはい;;победа или поражение, исход битвы;0;0;;;
勝負;4;しょうぶ;;матч, соревнование, игра, состязание, победа или поражение;0;0;;;
募集;4;ぼしゅう;;набор, призыв, вербовка;0;0;;;
勢い;3;いきおい;;сила, мощь, энергия;0;0;;;
勤め・務め;3;つとめ;;служба, служебный долг, обязанности;0;0;;;
勤める;1;つとめる;;служить, исполнять обязанности;0;0;;;
勧める;3;すすめる;;советовать, рекомендовать, предлагать, убеждать;0;0;;;
勿論;1;もちろん;;конечно;0;0;;;
匂い;2;におい;;запах, аромат;0;0;;;
匂う;4;におう;;пахнуть;0;0;;;
包み;3;つつみ;;свёрток, пакет, обёртка;0;0;;;
包む;2;つつむ;;обертывать, заворачивать, покрывать;0;0;;;
包帯;4;ほうたい;;повязка, перевязка, бинт;0;0;;;
包装;4;ほうそう;;упаковка;0;0;;;
化粧;3;けしょう;;косметика, макияж;0;0;;;
北極;4;ほっきょく;;Северный Полюс;0;0;;;
匙;4;さじ;;ложка;0;0;;;
〜匹;1;ひき;;сч. суф. для мелких животных;0;0;;;
区分;4;くぶん;;деление, дробление, классификация;0;0;;;
区切る;4;くぎる;;разграничивать, разделять, определять границы;0;0;;;
区域;4;くいき;;район, зона, сфера, область;0;0;;;
医師;3;いし;;доктор, врач;0;0;;;
医療;3;いりょう;;лечение;0;0;;;
十分;2;じゅうぶん;;достаточный;0;0;;;
千;1;せん;;тысяча;0;0;;;
千切る;4;ちぎる;;разорвать, рвать;0;0;;;
〜半;1;はん;;половина;0;0;;;
半径;4;はんけい;;радиус;0;0;;;
卑怯;4;ひきょう;;трусость, подлость, робость;0;0;;;
卒業（する） ;2;そつぎょう（する）;;окончание учебного заведения;0;0;;;
卒直;4;そっちょく;;откровенность, искренность, прямота;0;0;;;
協力;3;きょうりょく;;сотрудничество, взаимодействие, помощь;0;0;;;
南極;4;なんきょく;;Южный полюс, Антарктида;0;0;;;
単なる;3;たんなる;;простой, явный;0;0;;;
単純;3;たんじゅん;;простота;0;0;;;
博士;3;はかせ;;доктор наук, знаток, профессор;0;0;;;
博物館;3;はくぶつかん;;музей;0;0;;;
占う;4;うらなう;;гадать, предсказывать;0;0;;;
占める;3;しめる;;занимать (место, позицию, положение);0;0;;;
印;3;しるし;;знак, символ, эмблема, признак, свидетельство;0;0;;;
印刷;3;いんさつ;;печатание, печатать;0;0;;;
印象;3;いんしょう;;впечатление;0;0;;;
危うい;4;あやうい;;опасный, рискованный, ненадежный;0;0;;;
危ない;1;あぶない;;опасный, рискованный;0;0;;;
危険;2;きけん;;опасность;0;0;;;
却って;4;かえって;;наоборот, напротив, скорее;0;0;;;
卵;1;たまご;;яйцо;0;0;;;
卸す;4;おろす;;продавать оптом;0;0;;;
厄介;3;やっかい;;хлопоты, заботы, обременение, помощь, иждивение;0;0;;;
厚い;1;あつい;;толстый (о плоских предметах), теплый, сердечный;0;0;;;
厚かましい;4;あつかましい;;бесстыжий, бессовестный, нахальный, наглый, дерзкий;0;0;;;
原;3;はら;;равнина, поле, степь;0;0;;;
原始;4;げんし;;начало, источник, первобытный;0;0;;;
原理;4;げんり;;принцип, фундаментальная истины;0;0;;;
原産;4;げんさん;;происхождение, место обитания;0;0;;;
原稿;4;げんこう;;рукопись;0;0;;;
厳しい;2;きびしい;;строгий, требовательный, трудный;0;0;;;
厳重;4;げんじゅう;;строгость, тщательность, требовательность;0;0;;;
去る;3;さる;;уходить, покидать, проходить, удалять;0;0;;;
参る;2;まいる;;идти, сдаваться, посещать (храм);0;0;;;
参加;3;さんか;;участие, участвовать;0;0;;;
参考;3;さんこう;;справка, консультация, обращаться за справкой;0;0;;;
又;1;また;;опять, снова, к тому же;0;0;;;
又は;2;または;;или же, либо;0;0;;;
及ぼす;3;およぼす;;распространять, оказывать (влияние), причинять (беспокойство);0;0;;;
友好;4;ゆうこう;;дружба;0;0;;;
友達;1;ともだち;;друг;0;0;;;
双子;3;ふたご;;близнецы, двойня;0;0;;;
反る;4;かえる;;возвращаться;0;0;;;
反対;2;はんたい;;протест, контраст, противоположность;0;0;;;
反抗;3;はんこう;;сопротивление, отпор, оппозиция, враждебность, восстание;0;0;;;
反映;4;はんえい;;отражение, рефлексия;0;0;;;
反省;4;はんせい;;рефлексия, самоанализ, самопроверка;0;0;;;
収める;3;おさめる;;получать, приобретать, собирать, вносить, уплачивать;0;0;;;
収入;3;しゅうにゅう;;доход, приход, поступления;0;0;;;
収穫;3;しゅうかく;;урожай, жатва, (обр.) плоды, результаты;0;0;;;
叔母;2;おば;;тетя;0;0;;;
叔母さん・伯母さん;1;おばさん;;тетя;0;0;;;
叔父さん・伯父さん・小父さん;1;おじさん;;дядя;0;0;;;
取り上げる;3;とりあげる;;брать в руки, поднимать, принимать (требования), отбирать;0;0;;;
取り入れる;4;とりいれる;;класть, убирать во что-л., снимать урожай, заимствовать;0;0;;;
取り出す;4;とりだす;;вынуть, выбрать, отобрать;0;0;;;
取り替える;2;とりかえる;;менять, заменять, обменивать;0;0;;;
取り消す;4;とりけす;;отменять, взять назад, аннулировать;0;0;;;
取れる;3;とれる;;получать, приобретать, добываться, выходить, проходить (о боли);0;0;;;
受け取る;3;うけとる;;получать, принимать;0;0;;;
受け持つ;4;うけもつ;;отвечать, нести ответственность;0;0;;;
受付う;2;けつけ;;приём, справочное бюро, регистратура;0;0;;;
受取;4;うけとり;;получение, принятие;0;0;;;
受験;4;じゅけん;;сдача (прохождение) экзамена;0;0;;;
口;1;くち;;рот, губы;0;0;;;
口実;4;こうじつ;;предлог, отговорка;0;0;;;
口紅;4;くちべに;;губная помада;0;0;;;
古典;4;こてん;;классика;0;0;;;
句;3;く;;предложение, фраза, стихотворная строка;0;0;;;
句読点;4;くとうてん;;знаки препинания;0;0;;;
叩く;3;たたく;;бить, колотить, ударять, критиковать, нападать;0;0;;;
只;3;ただ;;лишь, только, просто, бесплатно;0;0;;;
只今;2;ただいま;;сейчас, только что, я дома! Я вернулся!;0;0;;;
叫ぶ;3;さけぶ;;кричать, вскрикивать, восклицать;0;0;;;
召し上がる;2;めしあがる;;кушать, пить (вежл. о -лице);0;0;;;
可;3;か;;удовлетворительно (оценка);0;0;;;
可哀相;3;かわいそう;;бедный, жалкий, несчастный;0;0;;;
可愛い;1;かわいい;;милый, хорошенький;0;0;;;
可愛がる;4;かわいがる;;любить, баловать;0;0;;;
可愛らしい;3;かわいらしい;;миловидный, хорошенький, крошечный;0;0;;;
可決;4;かけつ;;утверждение, одобрение, принятие;0;0;;;
可笑しい;2;おかしい;;смешной, забавный, неуместный;0;0;;;
可能;3;かのう;;возможность, возможный;0;0;;;
〜台;1;だい;;сч. суф. для механизмов, подставка;0;0;;;
叱る;2;しかる;;бранить, ругать, упрекать;0;0;;;
司会;4;しかい;;председательствование, проведение собрания и т.п.;0;0;;;
吃驚する;2;びっくりする;;изумляться, быть испуганным;0;0;;;
各々;4;おのおの;;каждый, всякий;0;0;;;
各地;4;かくち;;каждое место, разные места;0;0;;;
各自;4;かくじ;;каждый, индивидуально;0;0;;;
合わせる;3;あわせる;;соединять, согласовывать;0;0;;;
合同;4;ごうどう;;объединение, комбинация, слияние;0;0;;;
合図;3;あいず;;сигнал, знак;0;0;;;
合格;3;ごうかく;;соответствовать требованиям (экзамена), выдерживать испытания;0;0;;;
合流;4;ごうりゅう;;слияние (напр. дорог), впадение, присоединение;0;0;;;
合理;4;ごうり;;рациональный;0;0;;;
吊す;4;つるす;;повесить, подвесить;0;0;;;
吊る;4;つる;;повесить, подвесить;0;0;;;
同一;3;どういつ;;тождественность, идентичность, равенство, равноправие;0;0;;;
同僚;3;どうりょう;;сослуживец, коллега;0;0;;;
同時;3;どうじ;;в то же время, одновременно, синхронно;0;0;;;
同格;4;どうかく;;одного уровня, того же разряда;0;0;;;
同様;3;どうよう;;такой же, похожий, такого же рода;0;0;;;
名;3;な;;имя, название, наименование, известность;0;0;;;
名人;3;めいじん;;мастер (своего дела);0;0;;;
名作;4;めいさく;;шедевр;0;0;;;
名刺;4;めいし;;визитная карточка;0;0;;;
名字;4;みょうじ;;фамилия;0;0;;;
名詞;4;めいし;;имя существительное;0;0;;;
吐き気;4;はきけ;;тошнота;0;0;;;
吐く;3;はく;;рвать, тошнить, отхаркивать, выплевывать, выдыхать, высказывать;0;0;;;
向う;4;むこう;;противоположная сторона, напротив, место назначения;0;0;;;
向かい;3;むかい;;напротив, противоположный;0;0;;;
向ける;3;むける;;поворачивать, посылать, направлять, предназначать;0;0;;;
君;2;きみ, くん;;ты (обращение мужчин к женщинам), суффикс имен и фамилий к равным или нижестоящему;0;0;;;
吠える;3;ほえる;;лаять, реветь, выть;0;0;;;
否;3;いや・いいえ・いな;;нет;0;0;;;
否定;3;ひてい;;отрицание;0;0;;;
含む;3;ふくむ;;держать во рту, содержать, заключать в себе, подразумевать, иметь ввиду;0;0;;;
含める;4;ふくめる;;включать (в себя), дать указания;0;0;;;
吸う;1;すう;;вдыхать, втягивать, сосать;0;0;;;
吸収;3;きゅうしゅう;;всасывание, впитывание, усвоение, восприятие;0;0;;;
吹く;1;ふく;;дуть, выдувать;0;0;;;
吹雪;4;ふぶき;;метель, пурга, вьюга;0;0;;;
呆れる;4;あきれる;;быть шокированным, чувствовать отвращение;0;0;;;
呉れる;2;くれる;;давать, дарить (о действиях 2 или 3 лица в интересах 1 лица);0;0;;;
呑気;4;のんき;;беззаботный, беспечный, небрежный;0;0;;;
